trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
74,False,"{'a': 0.01, 'e': 0.7384685587295879}",25,0,-46.785597289890255,"{0: 19, 1: 0, 2: 5, 3: 1, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.7316888688738209}",25,0,-47.95966175374132,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
76,False,"{'a': 0.01, 'e': 0.7248360107409052}",35,9,-53.4522077303097,"{0: 18, 1: 0, 2: 8, 3: 0, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.7179106696109434}",25,0,-107.9809198472719,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
78,False,"{'a': 0.01, 'e': 0.7109135380122773}",20,0,-157.75581077989085,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
79,False,"{'a': 0.01, 'e': 0.7038453156522362}",20,4,0.4087428274764775,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.6967067093471655}",30,5,-32.5177943216226,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",1
81,False,"{'a': 0.01, 'e': 0.6894984329517471}",20,16,5.224987404346344,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.6822212072876136}",30,0,-66.18209898568811,"{0: 21, 1: 3, 2: 5, 3: 1, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.6748757600712672}",20,2,-21.004963842901468,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
84,False,"{'a': 0.01, 'e': 0.6674628258413082}",30,0,-26.727241421807797,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
85,False,"{'a': 0.01, 'e': 0.6599831458849822}",20,11,9.450703124321434,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.01, 'e': 0.6524374681640519}",20,6,-24.515731619599155,"{0: 9, 1: 3, 2: 2, 3: 0, 4: 0}",1
87,False,"{'a': 0.01, 'e': 0.6448265472400012}",20,9,-24.24214855522345,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.6371511441985802}",30,19,-29.1959576199929,"{0: 8, 1: 0, 2: 2, 3: 1, 4: 0}",1
